matrix,location,nj_fitness,fitch_fitness
1512009751472.additive.noisy.npy,data_n10_std10/1512009751472.additive.noisy.phylip.txt,6630.544669854482,7201.005977563407
1512009751482.additive.noisy.npy,data_n10_std10/1512009751482.additive.noisy.phylip.txt,3257.7707637005406,3171.6668618480053
1512009751500.additive.noisy.npy,data_n10_std10/1512009751500.additive.noisy.phylip.txt,4217.000879267368,4343.883157359202
1512009751515.additive.noisy.npy,data_n10_std10/1512009751515.additive.noisy.phylip.txt,5773.997229322924,5777.542976084195
1512009751523.additive.noisy.npy,data_n10_std10/1512009751523.additive.noisy.phylip.txt,5299.731646956812,5329.3573908271965
1512009751526.additive.noisy.npy,data_n10_std10/1512009751526.additive.noisy.phylip.txt,7291.4761884295,7953.824217914399
1512009751537.additive.noisy.npy,data_n10_std10/1512009751537.additive.noisy.phylip.txt,5112.563076862816,5750.8113627368
1512009751547.additive.noisy.npy,data_n10_std10/1512009751547.additive.noisy.phylip.txt,6244.80088128459,6142.280501799409
1512009751561.additive.noisy.npy,data_n10_std10/1512009751561.additive.noisy.phylip.txt,6145.501744265302,7565.238673241594
1512009751595.additive.noisy.npy,data_n10_std10/1512009751595.additive.noisy.phylip.txt,6363.878662617921,6615.944963743385
1512009753340.additive.noisy.npy,data_n10_std25/1512009753340.additive.noisy.phylip.txt,24855.11071377644,25745.639120556803
1512009753349.additive.noisy.npy,data_n10_std25/1512009753349.additive.noisy.phylip.txt,32075.065816100538,31725.454297388213
1512009753354.additive.noisy.npy,data_n10_std25/1512009753354.additive.noisy.phylip.txt,28485.647090872248,26578.756586414394
1512009753358.additive.noisy.npy,data_n10_std25/1512009753358.additive.noisy.phylip.txt,43400.035321545016,40502.845515408786
1512009753363.additive.noisy.npy,data_n10_std25/1512009753363.additive.noisy.phylip.txt,45698.63587938254,44263.49640057759
1512009753435.additive.noisy.npy,data_n10_std25/1512009753435.additive.noisy.phylip.txt,44959.913394927775,47488.81348129298
1512009753712.additive.noisy.npy,data_n10_std25/1512009753712.additive.noisy.phylip.txt,38929.5133307814,41950.53036539701
1512009753720.additive.noisy.npy,data_n10_std25/1512009753720.additive.noisy.phylip.txt,29666.146304616068,33589.28535883538
1512009753724.additive.noisy.npy,data_n10_std25/1512009753724.additive.noisy.phylip.txt,40751.125037001715,36176.868856205016
1512009753741.additive.noisy.npy,data_n10_std25/1512009753741.additive.noisy.phylip.txt,29081.450601098637,31871.818689595184
1512009755566.additive.noisy.npy,data_n10_std50/1512009755566.additive.noisy.phylip.txt,135308.55517911608,139101.0179177362
1512009755607.additive.noisy.npy,data_n10_std50/1512009755607.additive.noisy.phylip.txt,158508.9761318455,207441.48216435142
1512009755611.additive.noisy.npy,data_n10_std50/1512009755611.additive.noisy.phylip.txt,166429.56748360422,195476.00807340175
1512009755631.additive.noisy.npy,data_n10_std50/1512009755631.additive.noisy.phylip.txt,133142.40790855238,120482.07400875624
1512009755647.additive.noisy.npy,data_n10_std50/1512009755647.additive.noisy.phylip.txt,235156.26656774138,285248.4349618217
1512009756018.additive.noisy.npy,data_n10_std50/1512009756018.additive.noisy.phylip.txt,157482.05794508723,162511.47835632242
1512009756022.additive.noisy.npy,data_n10_std50/1512009756022.additive.noisy.phylip.txt,225947.9773580159,273213.77736310486
1512009756135.additive.noisy.npy,data_n10_std50/1512009756135.additive.noisy.phylip.txt,209632.00698126527,327530.7396515
1512009756232.additive.noisy.npy,data_n10_std50/1512009756232.additive.noisy.phylip.txt,152956.62680307098,142381.18279917858
1512009756359.additive.noisy.npy,data_n10_std50/1512009756359.additive.noisy.phylip.txt,153667.32426033728,223090.18658903526
1512011452661.additive.noisy.npy,data_n15_std10/1512011452661.additive.noisy.phylip.txt,15807.312036053501,14786.127660816805
1512011452883.additive.noisy.npy,data_n15_std10/1512011452883.additive.noisy.phylip.txt,14944.888285575782,15618.1975358172
1512011452892.additive.noisy.npy,data_n15_std10/1512011452892.additive.noisy.phylip.txt,12628.738633854517,12882.92962794677
1512011452905.additive.noisy.npy,data_n15_std10/1512011452905.additive.noisy.phylip.txt,17202.56520169376,17891.188615064384
1512011452942.additive.noisy.npy,data_n15_std10/1512011452942.additive.noisy.phylip.txt,14967.246243321133,16087.170847021602
1512011452996.additive.noisy.npy,data_n15_std10/1512011452996.additive.noisy.phylip.txt,16056.630454038603,17145.917811769188
1512011453000.additive.noisy.npy,data_n15_std10/1512011453000.additive.noisy.phylip.txt,19047.474102507054,17187.29081461121
1512011453004.additive.noisy.npy,data_n15_std10/1512011453004.additive.noisy.phylip.txt,19156.75334342353,20922.479061136808
1512011453012.additive.noisy.npy,data_n15_std10/1512011453012.additive.noisy.phylip.txt,22836.645108801626,23934.660336362784
1512011453029.additive.noisy.npy,data_n15_std10/1512011453029.additive.noisy.phylip.txt,21495.906254858666,21438.756213966015
1512011454801.additive.noisy.npy,data_n15_std25/1512011454801.additive.noisy.phylip.txt,90070.87207263846,95512.05472113678
